#t,a_f,v_f,a_w,v_w
0,2681,69,868,22
1,2701,69,873,22
2,2723,69,878,22
3,2739,69,885,22
4,2739,69,890,22
5,2815,69,894,22
6,2830,69,907,22
7,2856,69,910,22
8,2857,69,916,22
9,2889,69,929,22
10,2914,69,936,22
11,2924,69,944,22
12,2952,69,947,22
13,2986,69,956,22
14,2988,69,958,22
15,3006,69,969,22
16,3018,69,976,22
17,3056,70,982,22
18,3092,70,989,22
19,3119,70,993,22
20,3142,70,998,22
21,3152,70,1003,22
22,3163,70,1008,22
23,3192,70,1017,22
24,3218,70,1024,22
25,3218,70,1040,22
26,3342,71,1044,22
27,3344,71,1050,22
28,3381,71,1056,22
29,3400,71,1062,22
30,3400,71,1073,22
31,3571,71,1079,22
32,3629,71,1091,22
33,3635,71,1091,22
34,3729,72,1113,22
35,3744,72,1116,22
36,3767,72,1140,22
37,3862,72,1161,22
38,4011,72,1184,22
39,4134,72,1202,22